"folio_ageb","entidad","alcaldia","localidad","pob","tot_pobres","IDSM","E_IDS_V"
"0901700010687","09","017","0001",353,316,0.6828437,"Muy bajo"
"0901203931246","09","012","0393",311,296,0.6831021,"Muy bajo"
"0900902290100","09","009","0229",20,20,0.683283,"Muy bajo"
"0900900770100","09","009","0077",195,186,0.6834127,"Muy bajo"
"0901302760620","09","013","0276",37,35,0.6835001,"Muy bajo"
"0901302381281","09","013","0238",40,40,0.6835159,"Muy bajo"
"0900902160100","09","009","0216",98,79,0.6835181,"Muy bajo"
"0901300011559","09","013","0001",2470,2382,0.6836016,"Muy bajo"
"0900500011646","09","005","0001",6,6,0.6838957,"Muy bajo"
"0901201871250","09","012","0187",270,259,0.6841977,"Muy bajo"
"0900900560100","09","009","0056",110,105,0.6842477,"Muy bajo"
"0900903190100","09","009","0319",66,65,0.6847509,"Muy bajo"
"0900903160100","09","009","0316",301,291,0.685773,"Muy bajo"
"0900903420539","09","009","0342",121,115,0.6860074,"Muy bajo"
"0901202161246","09","012","0216",233,219,0.6860649,"Muy bajo"
"0901301850902","09","013","0185",31,27,0.6861298,"Muy bajo"
"0901202681250","09","012","0268",7,7,0.6864305,"Muy bajo"
"0901201611227","09","012","0161",820,772,0.6870191,"Muy bajo"
"0901302570620","09","013","0257",339,301,0.6873726,"Muy bajo"
"0901202951250","09","012","0295",16,16,0.68784,"Muy bajo"
"0901101280838","09","011","0128",101,95,0.6878512,"Muy bajo"
"0901302340635","09","013","0234",179,172,0.6886325,"Muy bajo"
"0900801130368","09","008","0113",6,6,0.68872,"Muy bajo"
"0901203191829","09","012","0319",20,17,0.6888739,"Muy bajo"
"0901500010786","09","015","0001",1949,1766,0.6895535,"Muy bajo"
"0901700010691","09","017","0001",1951,1764,0.6897671,"Muy bajo"
"0901300010724","09","013","0001",929,848,0.6902978,"Muy bajo"
"0901202461231","09","012","0246",4,4,0.6903081,"Muy bajo"
"0901301131281","09","013","0113",10,10,0.6903166,"Muy bajo"
"0901100011535","09","011","0001",1913,1773,0.690378,"Muy bajo"
"0900901390100","09","009","0139",165,146,0.690378,"Muy bajo"
"0900903100100","09","009","0310",58,55,0.6904147,"Muy bajo"
"0900903880100","09","009","0388",77,77,0.6905636,"Muy bajo"
"0901203331231","09","012","0333",20,18,0.6907735,"Muy bajo"
"0900901200539","09","009","0120",235,222,0.6907793,"Muy bajo"
"0900700015696","09","007","0001",1759,1490,0.6908411,"Muy bajo"
"0900902110100","09","009","0211",123,110,0.6910907,"Muy bajo"
"0900700014274","09","007","0001",6147,5758,0.691137,"Muy bajo"
"0901302730902","09","013","0273",574,556,0.6915341,"Muy bajo"
"0900903170100","09","009","0317",224,217,0.6915654,"Muy bajo"
"0901301370902","09","013","0137",266,254,0.691626,"Muy bajo"
"0900902650100","09","009","0265",107,90,0.6916721,"Muy bajo"
"0901202821246","09","012","0282",924,868,0.691964,"Muy bajo"
"0900903630100","09","009","0363",30,24,0.6919693,"Muy bajo"
"0900800010476","09","008","0001",6157,5746,0.6922361,"Muy bajo"
"0900900840524","09","009","0084",156,150,0.6925088,"Muy bajo"
"0900700015520","09","007","0001",3543,3366,0.6929762,"Muy bajo"
"0900902860100","09","009","0286",1,1,0.6936712,"Muy bajo"
"0901204181246","09","012","0418",54,53,0.6939704,"Muy bajo"
"0900902570524","09","009","0257",78,77,0.6939878,"Muy bajo"
"0900900450100","09","009","0045",57,54,0.6943197,"Muy bajo"
"0900902130100","09","009","0213",66,65,0.6943765,"Muy bajo"
"0900904140100","09","009","0414",11,8,0.694671,"Muy bajo"
"0900902270100","09","009","0227",46,45,0.694818,"Muy bajo"
"0900900960100","09","009","0096",18,18,0.6951273,"Muy bajo"
"0900700015501","09","007","0001",6004,5610,0.6952646,"Muy bajo"
"0901101530471","09","011","0153",23,21,0.6952872,"Muy bajo"
"0900900540100","09","009","0054",72,69,0.6958963,"Muy bajo"
"0900902170100","09","009","0217",413,400,0.6960019,"Muy bajo"
"0900901730100","09","009","0173",65,64,0.6967064,"Muy bajo"
"0900903670524","09","009","0367",32,29,0.6968116,"Muy bajo"
"0901302810902","09","013","0281",25,22,0.6970052,"Muy bajo"
"0901301870902","09","013","0187",162,150,0.6973033,"Muy bajo"
"0900903600100","09","009","0360",98,93,0.697355,"Muy bajo"
"0901202761246","09","012","0276",524,478,0.6973784,"Muy bajo"
"0900700014857","09","007","0001",5486,5094,0.6981977,"Muy bajo"
"0901201351227","09","012","0135",4017,3778,0.6983564,"Muy bajo"
"0900901170539","09","009","0117",143,143,0.6987635,"Muy bajo"
"0900900900100","09","009","0090",110,103,0.6990163,"Muy bajo"
"0901201121246","09","012","0112",161,154,0.6992737,"Muy bajo"
"0900902370100","09","009","0237",5,5,0.6992991,"Muy bajo"
"0900901380100","09","009","0138",264,238,0.699489,"Muy bajo"
"0900901560524","09","009","0156",32,29,0.6994891,"Muy bajo"
"0901203111227","09","012","0311",15,15,0.699616,"Muy bajo"
"0901002161326","09","010","0216",47,39,0.6998458,"Muy bajo"
"0900901040539","09","009","0104",138,137,0.700048,"Muy bajo"
"0901203621231","09","012","0362",1,1,0.7001121,"Muy bajo"
"0900903260100","09","009","0326",17,15,0.7002531,"Muy bajo"
"0900902100100","09","009","0210",187,177,0.7006407,"Muy bajo"
